Period [us],Frequency [Hz]
2676349,0.373643
7919,126.278571
1576,634.517766
2384,419.463087
809,1236.093943
809,1236.093943
813,1230.0123
792,1262.626263
1605,623.05296
803,1245.330012
1594,627.352572
1615,619.195046
805,1242.236025
821,1218.026797
820,1219.512195
796,1256.281407
815,1226.993865
786,1272.264631
800,1250
811,1233.045623
800,1250
812,1231.527094
833,1200.480192
802,1246.882793
814,1228.501229
823,1215.066829
804,1243.781095
821,1218.026797
796,1256.281407
804,1243.781095
815,1226.993865
810,1234.567901
822,1216.545012
817,1223.990208
825,1212.121212
813,1230.0123
812,1231.527094
817,1223.990208
819,1221.001221
806,1240.694789
823,1215.066829
835,1197.60479
831,1203.369434
831,1203.369434
822,1216.545012
824,1213.592233
821,1218.026797
820,1219.512195
808,1237.623762
814,1228.501229
821,1218.026797
822,1216.545012
828,1207.729469
824,1213.592233
827,1209.189843
822,1216.545012
816,1225.490196
821,1218.026797
831,1203.369434
828,1207.729469
828,1207.729469
829,1206.272618
832,1201.923077
838,1193.317422
828,1207.729469
842,1187.648456
836,1196.172249
833,1200.480192
837,1194.74313
836,1196.172249
839,1191.895113
822,1216.545012
825,1212.121212
827,1209.189843
816,1225.490196
824,1213.592233
830,1204.819277
844,1184.834123
823,1215.066829
836,1196.172249
832,1201.923077
837,1194.74313
842,1187.648456
833,1200.480192
836,1196.172249
837,1194.74313
846,1182.033097
840,1190.47619
847,1180.637544
839,1191.895113
835,1197.60479
838,1193.317422
844,1184.834123
843,1186.23962
845,1183.431953
845,1183.431953
842,1187.648456
843,1186.23962
847,1180.637544
835,1197.60479
833,1200.480192
836,1196.172249
835,1197.60479
843,1186.23962
840,1190.47619
842,1187.648456
846,1182.033097
850,1176.470588
848,1179.245283
847,1180.637544
838,1193.317422
840,1190.47619
838,1193.317422
842,1187.648456
842,1187.648456
844,1184.834123
846,1182.033097
855,1169.590643
852,1173.70892
861,1161.440186
854,1170.960187
851,1175.088132
857,1166.861144
847,1180.637544
857,1166.861144
859,1164.144354
855,1169.590643
856,1168.224299
851,1175.088132
861,1161.440186
853,1172.332943
853,1172.332943
848,1179.245283
859,1164.144354
845,1183.431953
853,1172.332943
846,1182.033097
854,1170.960187
849,1177.856302
859,1164.144354
859,1164.144354
856,1168.224299
857,1166.861144
863,1158.748552
861,1161.440186
864,1157.407407
858,1165.501166
860,1162.790698
855,1169.590643
854,1170.960187
857,1166.861144
859,1164.144354
860,1162.790698
861,1161.440186
860,1162.790698
863,1158.748552
862,1160.092807
861,1161.440186
856,1168.224299
861,1161.440186
858,1165.501166
856,1168.224299
858,1165.501166
865,1156.069364
866,1154.734411
868,1152.073733
873,1145.475372
869,1150.747986
872,1146.788991
871,1148.105626
